property,address,price,duration,number of bedrooms
4 bedroom terraced duplex for rent,"  Oniru, Victoria Island (VI), Lagos","180,000,000", per annum,4
5 bedroom detached duplex for rent,"  VGC, Lekki, Lagos","8,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Badore, Ajah, Lagos","1,500,000",,2
3 bedroom flat / apartment for rent,"  Osapa, Lekki, Lagos","2,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Banana Island, Ikoyi, Lagos","9,000,000", per annum,4
4 bedroom flat / apartment for rent,"  Park View Estate,, Ikoyi, Lagos","14,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Off 2nd Avenue, Banana Island, Ikoyi, Lagos","20,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Channels Tv Avenue Tophill Enclave Estate, Isheri North, Lagos","4,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Graceland Estate, Ajiwe, Ajah, Lagos","2,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Ikoyi, Lagos","14,000,000", per annum,4
2 bedroom flat / apartment for rent,"  By Imax Cenema, Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
Self contain (single rooms) for rent,"  Guzape District, Abuja","1,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Agungi, Lekki, Lagos","1,200,000", per annum,1
5 bedroom detached duplex for rent,"  By Navy Quaters, Jahi, Abuja","7,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Jahi, Abuja","6,000,000", per annum,3
3 bedroom house for rent,"  2, Garki, Abuja","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ogombo, Ajah, Lagos","900,000", per annum,2
Self contain (single rooms) for rent,"  Peace Village, FHA (F.H.A), Lugbe District, Abuja","250,000", per annum,1
4 bedroom detached duplex for rent,"  Lekki Palm City, Ajah, Lagos","4,200,000", per annum,4
Self contain (single rooms) for rent,"  Wuse 2, Abuja","1,600,000", per annum,1
2 bedroom flat / apartment for rent,"  Behind Blenco Supermarket, Olokonla, Ajah, Lagos","1,600,000", per annum,2
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Agungi, Lekki, Lagos","4,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Magboro, Ogun","500,000", per annum,3
Self contain (single rooms) for rent,"  Spg, Igbo Efon, Lekki, Lagos","1,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Kasunmu Estate, Off Akala Express Road, Ibadan, Oyo","350,000", per annum,2
Office space for rent,"  59, Ore Olorun House, Opposite Pefti Films Institute, Leventis Bus-stop, Ibadan, Oyo","100,000", per annum,Office Space
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Guzape District, Abuja","5,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikate, Ikate Elegushi, Lekki, Lagos","4,000,000", per annum,3
15 bedroom detached duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","50,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Off Admiralty Way,, Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Orchid, Lekki, Lagos","2,500,000", per annum,2
3 bedroom flat / apartment for rent,"  2nd Toll Gate, Lekki, Lagos","4,000,000", per annum,3
5 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Shomolu, Lagos","1,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Shomolu, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Maitama District, Abuja","35,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,500,000", per annum,2
4 bedroom terraced duplex for rent,"  GRA, Ogudu, Lagos","6,000,000", per annum,4
4 bedroom detached duplex for rent,"  Royal Pine Estate Orchid, Lekki, Lagos","9,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","10,350,000", per annum,3
Self contain (single rooms) for rent,"  By Victoria Bay Estate Orchid Road, Lekki, Lagos","900,000", per annum,1
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","10,350,000", per annum,3
Self contain (single rooms) for rent,"  New Road Alpha Beach, Lekki, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  Off Sobo Arobiodu Street, Ikeja GRA, Ikeja, Lagos","8,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,2
5 bedroom detached duplex for rent,"  Chevron, Lekki, Lagos","7,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","7,350,000", per annum,2
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","7,350,000", per annum,2
4 bedroom terraced duplex for rent,"  Maitama District, Abuja","35,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Omole Phase 1, Ikeja, Lagos","6,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Chevron, Lekki, Lagos","6,500,000", per annum,4
3 bedroom terraced duplex for rent,"  Karmo, Abuja","4,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikeja, Lagos","3,500,000", per annum,3
5 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","13,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Jahi, Abuja","4,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Diplomatic Zone, Guzape District, Abuja","10,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Osborne, Ikoyi, Lagos","5,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
4 bedroom terraced duplex for rent,"  Jahi, Abuja","6,500,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Blackgate Alaguntan, Off Exon Mobil Road, Just After Vgc, Ilaje, Ajah, Lagos","900,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Lekki, Lagos","4,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Behind 9ice Kids, Pipeline Road, F-division, Tanke, Ilogbo Eremi, Badagry, Lagos","450,000", per annum,3
4 bedroom terraced duplex for rent,"  Jahi, Abuja","5,000,000", per annum,4
3 bedroom detached bungalow for rent,"  At Araromi Area, Agbabiaka Road, Ilorin South, Kwara","550,000", per annum,3
3 bedroom flat / apartment for rent,"  Close To Paradise Estate 1, Life Camp, Abuja","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","3,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Salem, Lekki, Lagos","5,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Gwarinpa, Abuja","7,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","6,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Ogba, Ikeja, Lagos","4,000,000", per annum,4
1 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
4 bedroom terraced duplex for rent,"  Maitama District, Abuja","35,000,000", per annum,4
4 bedroom detached duplex for rent,"  Lekki Palm City, Ajah, Lagos","4,200,000", per annum,4
3 bedroom flat / apartment for rent,"  Off Ojota Road ,, Ogudu, Lagos","1,200,000", per annum,3
Commercial property for rent,"  Wemco Road, Ikeja, Lagos","80,000,000", per annum,Commercial land/property
5 bedroom semi-detached duplex for rent,"  Victoria Island (VI), Lagos","20,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","10,000,000", per annum,3
5 bedroom detached duplex for rent,"  Sapphire Garden Beside Coscharis Motor, Awoyaya, Ibeju Lekki, Lagos","4,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Rockstoneville, Badore, Ajah, Lagos","650,000", per annum,1
3 bedroom flat / apartment for rent,"  Asokoro District, Abuja","65,000", per annum,3
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","4,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Yesufu Abiodun Way, Oniru, Victoria Island (VI), Lagos","6,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,500,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Victoria Island (VI), Lagos","16,000,000", per annum,4
3 bedroom terraced duplex for rent,"  House 1d, Road 7, Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,000,000", per annum,2
4 bedroom flat / apartment for rent,"  Ikoyi, Lagos","12,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Victoria Bay Estate Orchid, Lekki, Lagos","7,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Off Ajayi Road, Ogba, Ikeja, Lagos","1,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Utako, Abuja","5,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Utako, Abuja","3,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Lekki Scheme 2, Ajiwe, Ajah, Lagos","1,200,000", per annum,1
4 bedroom detached duplex for rent,"  Banana Island, Ikoyi, Lagos","22,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Emerald Park (formerly Mobil) Estate, Ajah, Lagos","6,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","15,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Idu Industrial, Abuja","2,000,000", per annum,2
1 bedroom flat / apartment for rent,"  Idu Industrial, Abuja","1,500,000",,1
2 bedroom house for rent,"  Otunla, Lakowe, Ibeju Lekki, Lagos","1,000,000", per annum,2
Self contain (single rooms) for rent,"  Idu Industrial, Abuja","500,000", per annum,1
2 bedroom flat / apartment for rent,"  Ikota, Lekki, Lagos","3,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Royal Pine Estate, Orchid Road, Lekki, Lagos","2,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Shomolu, Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Shomolu, Lagos","1,200,000", per annum,2
3 bedroom terraced duplex for rent,"  Victoria Crest V Estate, VGC, Lekki, Lagos","4,000,000", per annum,3
Plaza / complex / mall for rent,"  Opebi Road/opebi Link Road, Opebi, Ikeja, Lagos","115,000", per square meter / per annum,Plaza/mall Space
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,000,000", per annum,2
3 bedroom house for rent,"  Agungi, Lekki, Lagos","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Surulere, Lagos","3,300,000", per annum,2
2 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","7,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Agidingbi, Ikeja, Lagos","3,500,000", per annum,3
3 bedroom detached bungalow for rent,"  Beside Unilag Estate, Mowe Town, Ogun","1,500,000", per annum,3
4 bedroom flat / apartment for rent,"  Glover Road, Ikoyi, Lagos","12,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Orchid, Lekki Phase 2, Lekki, Lagos","4,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Golf Estate Gra, Enugu, Enugu","700,000", per annum,2
2 bedroom flat / apartment for rent,"  Pascal Offiah Close, Off Platinum Way, Jakande, Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,2
3 bedroom house for rent,"  J.acme Road, Alausa, Ikeja, Lagos","3,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Orchid, Lekki, Lagos","1,300,000", per annum,1
1 bedroom flat / apartment for rent,"  Jahi, Abuja","2,000,000", per annum,1
1 bedroom flat / apartment for rent,"  Jahi, Abuja","1,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Close Proximity To Area 1 Round About, Durumi, Abuja","2,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Orchid Road, Lekki Phase 2, Lekki, Lagos","2,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Grand Pela Hotel, Nnpc, Durumi, Abuja","6,500,000", per annum,4
2 bedroom terraced duplex for rent,"  Ikota, Lekki, Lagos","3,000,000", per annum,2
3 bedroom detached bungalow for rent,"  Thomas Estate Lekki, Ajah, Lagos","2,500,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","20,000,000", per annum,4
3 bedroom house for rent,"  Kado, Abuja","5,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Kinihin Ifa Street,, Gbagada, Lagos","900,000", per annum,2
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","3,300,000", per annum,1
3 bedroom house for rent,"  By Reno Hotel, Katampe, Abuja","3,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Off 2nd Avenue, Banana Island, Ikoyi, Lagos","20,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Orchid, Lekki, Lagos","2,600,000", per annum,3
3 bedroom flat / apartment for rent,"  Ijesha, Surulere, Lagos","1,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Mbora (Nbora), Abuja","2,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Phase 2 Estate, GRA, Ogudu, Lagos","6,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Thomas Estate, Ajah, Lagos","3,700,000", per annum,4
3 bedroom flat / apartment for rent,"  Lawanson, Surulere, Lagos","1,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Crest Garden Estate, Sangotedo, Ajah, Lagos","1,600,000", per annum,2
4 bedroom terraced duplex for rent,"  Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","20,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Off Orchid Rd, Lekki, Lagos","3,000,000", per annum,2
Self contain (single rooms) for rent,"  Heritage Garden 2 Bridgegate Estate, Off Ajiran Road, Agungi, Lekki, Lagos","800,000", per annum,1
5 bedroom detached duplex for rent,"  Ikeja GRA, Ikeja, Lagos","20,000,000", per annum,5
4 bedroom terraced duplex for rent,"  Ocean Bay Estate, Lekki Phase 2, Lekki, Lagos","4,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Alhaja Eleshin Street, Ogudu, Lagos","2,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Off Orchid Rd, Lekki, Lagos","4,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Farmville Estate, Sangotedo, Ajah, Lagos","1,200,000", per annum,2
4 bedroom terraced duplex for rent,"  Phase 2, Osborne, Ikoyi, Lagos","15,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Redeem Bus Stop, Ogombo, Ajah, Lagos","1,200,000", per annum,2
3 bedroom semi-detached duplex for rent,"  Nicon Town, Lekki, Lagos","8,500,000", per annum,3
4 bedroom detached duplex for rent,"  Ajiwe, Ajah, Lagos","3,000,000", per annum,4
3 bedroom house for rent,"  By Navy Quaters, Jahi, Abuja","5,500,000", per annum,3
Self contain (single rooms) for rent,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos","2,300,000", per annum,1
2 bedroom flat / apartment for rent,"  Right, Lekki Phase 1, Lekki, Lagos","7,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos","10,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Ikota Gra, Ikota, Lekki, Lagos","3,300,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos","1,700,000", per annum,1
2 bedroom flat / apartment for rent,"  Majek, Sangotedo, Ajah, Lagos","1,000,000", per annum,2
Self contain (single rooms) for rent,"  Orchid Road, Lekki Phase 2, Lekki, Lagos","1,300,000", per annum,1
Self contain (single rooms) for rent,"  Van Daniel, Orchid Road, Lekki Phase 2, Lekki, Lagos","800,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Orchid Road, Lekki Phase 2, Lekki, Lagos","2,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Goodluck, Ori-oke, Ogudu, Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Iwaya, Yaba, Lagos","2,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Ori-oke, Ogudu, Lagos","1,200,000", per annum,1
4 bedroom terraced duplex for rent,"  Kusenla, Ikate, Lekki, Lagos","5,000,000", per annum,4
5 bedroom detached duplex for rent,"  Sapphire Gardens Estate, Awoyaya, Ajah, Lagos","4,500,000", per annum,5
2 bedroom flat / apartment for rent,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,5
4 bedroom detached duplex for rent,"  Orchid Road, Lekki, Lagos","5,500,000", per annum,4
